epoch,accuracy,dice_coef,jaccard_coef,loss,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.4408361,0.1454573,0.078540556,2.0470279658897015,0.5967414379119873,0.19056808948516846,0.10538466274738312,1.380873203277588
1,0.60724264,0.20722423,0.11571612,1.4077716313208206,0.5871914029121399,0.20463329553604126,0.11410550028085709,1.2848082780838013
2,0.67060465,0.27003577,0.15627947,1.1814045966426028,0.6986529231071472,0.30520036816596985,0.18048807978630066,1.0563502311706543
3,0.70195854,0.3276731,0.19613795,1.0505482140409796,0.7161551117897034,0.36368516087532043,0.22310622036457062,0.9491549730300903
4,0.72178113,0.38030234,0.23506485,0.9602379590461526,0.7214885354042053,0.34956231713294983,0.21261747181415558,1.0795810222625732
5,0.73710936,0.42811763,0.27265346,0.8916611604486839,0.7524406909942627,0.515774130821228,0.34946659207344055,0.7090329527854919
6,0.7512999,0.47244552,0.30959925,0.8290112673104564,0.761243999004364,0.5235958099365234,0.35739949345588684,1.0176095962524414
7,0.7631836,0.5080173,0.34083718,0.7814661782187752,0.7658325433731079,0.5807700157165527,0.41106700897216797,0.6635661125183105
8,0.7758614,0.5446164,0.37461686,0.7317378649228736,0.773163378238678,0.5874801874160767,0.4183022379875183,0.6968746185302734
9,0.78676355,0.57471436,0.4036463,0.6889270309688924,0.775013267993927,0.5807766318321228,0.4113157391548157,0.7286747694015503
10,0.7980094,0.6049984,0.43414727,0.6444270737657819,0.7680050730705261,0.608792245388031,0.439529150724411,0.6312459707260132
11,0.8094105,0.63413423,0.46474388,0.5991783860269226,0.7797031402587891,0.6623954772949219,0.49757710099220276,0.6326373815536499
12,0.8200852,0.6588482,0.49171743,0.5588478072534634,0.7970969676971436,0.674625813961029,0.5112999081611633,0.5062386393547058
13,0.8352641,0.6880049,0.5249028,0.5095524698778798,0.7782641649246216,0.6538903713226318,0.4879765808582306,0.8021000623703003
14,0.84840196,0.7167909,0.5591249,0.4660791611369652,0.7992419600486755,0.7247084975242615,0.5693783164024353,0.613868772983551
15,0.86109596,0.7444663,0.5934601,0.42534160925240455,0.790899932384491,0.6979472041130066,0.5378832817077637,0.6948477625846863
16,0.8741098,0.7704876,0.62720436,0.3853162572117923,0.8001379370689392,0.7317039370536804,0.5782678127288818,0.4523186683654785
17,0.8838488,0.788003,0.6507614,0.3530536378627714,0.7936686873435974,0.7295264005661011,0.5756528377532959,0.7349443435668945
18,0.89781666,0.81282556,0.68517494,0.30955525216516816,0.7965981960296631,0.7344493269920349,0.5818608999252319,0.7981204986572266
19,0.9085815,0.82812095,0.7071382,0.2758997611088466,0.803029477596283,0.7491357326507568,0.5999888777732849,0.7222996950149536
20,0.91602445,0.83977103,0.7242345,0.25138727393991583,0.8045223355293274,0.753624439239502,0.6057447195053101,0.483419805765152
21,0.9234875,0.8498361,0.7393569,0.22800286234462563,0.8021861910820007,0.7470537424087524,0.597181499004364,0.8178760409355164
22,0.9281373,0.85462284,0.7465631,0.21269573191110092,0.8012369275093079,0.7477139234542847,0.598135769367218,0.8465938568115234
23,0.9352391,0.8637295,0.7604946,0.190465437378027,0.7992748618125916,0.7521266937255859,0.6038623452186584,0.7948609590530396
24,0.94118166,0.87158066,0.7727861,0.17162500284140622,0.7854188084602356,0.731143593788147,0.5771188139915466,0.9247242212295532
25,0.9412849,0.8703507,0.77082336,0.17010769859852293,0.8054022789001465,0.746297299861908,0.5964116454124451,0.8923187255859375
26,0.94757944,0.87809956,0.78303754,0.1505776201669551,0.8037712574005127,0.7576636672019958,0.6112399697303772,0.8397973775863647
27,0.947691,0.87656295,0.7806102,0.14921316926520836,0.8070486783981323,0.7575216889381409,0.610942542552948,0.7455649971961975
28,0.9526968,0.88361156,0.79178274,0.1340693242117008,0.7960531115531921,0.7491236925125122,0.5999600291252136,0.7415162324905396
29,0.95226526,0.880294,0.7865233,0.13492204797088722,0.8085374236106873,0.7684516310691833,0.6249603033065796,1.116003155708313
30,0.9559934,0.8859119,0.7954834,0.12300053353220979,0.8097490668296814,0.7555597424507141,0.6087526679039001,0.7436803579330444
31,0.9486019,0.8720912,0.7735488,0.14647905648792092,0.8107626438140869,0.7582760453224182,0.61198490858078,0.7314378023147583
32,0.95915323,0.887212,0.7975873,0.11302587704709437,0.8109117150306702,0.7592145204544067,0.6133044958114624,0.7806957364082336
33,0.9635413,0.89470917,0.8097524,0.09952987440496305,0.8110132813453674,0.7748990058898926,0.6337085366249084,0.9040305018424988
34,0.9629321,0.8924196,0.80609894,0.10182783420233033,0.7979350686073303,0.7522915601730347,0.6040686964988708,0.9728325605392456
35,0.95995754,0.886332,0.7961988,0.11041893898450499,0.8085619807243347,0.7562962174415588,0.6092928051948547,0.7612868547439575
36,0.96170324,0.8879753,0.7988412,0.10488614488888202,0.8100820183753967,0.7501442432403564,0.601002037525177,0.7826381921768188
37,0.9660074,0.8964347,0.8125134,0.09167629663089785,0.8147929310798645,0.7656673192977905,0.6215366721153259,1.0708818435668945
38,0.96787643,0.8997283,0.817991,0.08601403964942769,0.8087267875671387,0.767193078994751,0.6234431266784668,0.9901058077812195
39,0.96185267,0.8855895,0.79508346,0.10459794744825628,0.8106879591941833,0.7528629899024963,0.6046479344367981,0.9188736081123352
40,0.9662798,0.8925691,0.8062859,0.09075376042459585,0.8129230737686157,0.7626305818557739,0.6176386475563049,1.3368133306503296
41,0.9691022,0.89847267,0.81596893,0.08206040046142438,0.8054215908050537,0.7607108950614929,0.6150245666503906,1.4490824937820435
42,0.96844465,0.8976085,0.8145361,0.08445751272684222,0.8104805946350098,0.7706473469734192,0.6282544136047363,1.249267816543579
43,0.96784836,0.8941267,0.8088886,0.08664282314078528,0.7982692718505859,0.7206712961196899,0.5644891262054443,0.9299604296684265
44,0.96743256,0.88896835,0.8004861,0.08745171193363546,0.8128066658973694,0.7501150965690613,0.6014837026596069,0.8816744089126587
45,0.9717042,0.901556,0.8210404,0.07437847944306611,0.8075336217880249,0.7548861503601074,0.607560932636261,1.1804033517837524
46,0.9658436,0.887941,0.7988763,0.09243821634474812,0.8120859861373901,0.7590842843055725,0.6129571199417114,0.7945629954338074
47,0.97238916,0.9021527,0.8220959,0.07242013560018584,0.8138262629508972,0.7592918276786804,0.6127569079399109,0.9827430844306946
48,0.9732804,0.90304023,0.82353705,0.06978651765097357,0.807144820690155,0.7580229043960571,0.6117905974388123,0.9271580576896667
49,0.9711363,0.8968347,0.8133087,0.07611709921561842,0.807574450969696,0.7432065606117249,0.5922382473945618,0.8390098810195923
50,0.97254026,0.8991542,0.8170986,0.0719595490777983,0.8118968605995178,0.753564178943634,0.6057854890823364,0.5536384582519531
51,0.97424287,0.90261203,0.82278955,0.06697968381185886,0.8136947751045227,0.7553296685218811,0.6080036163330078,0.6973945498466492
52,0.9689892,0.8918227,0.8053655,0.0835527319378585,0.8022778630256653,0.7424991726875305,0.5915349125862122,1.4439723491668701
53,0.9696689,0.88851196,0.7997478,0.08104164367305892,0.8111671805381775,0.7528337240219116,0.6047406196594238,0.8252841234207153
54,0.97460943,0.8994164,0.81753445,0.06582800331348672,0.8141925930976868,0.7487712502479553,0.5995768904685974,1.3648571968078613
55,0.9769778,0.9066013,0.8294382,0.058937831899693496,0.811237096786499,0.7467187643051147,0.5971947908401489,1.0287113189697266
56,0.97426605,0.89742935,0.81429124,0.0668133666055112,0.8140106201171875,0.7485419511795044,0.5993465185165405,1.1219185590744019
57,0.9752072,0.90065783,0.8196095,0.06425642123728802,0.8122658133506775,0.7619871497154236,0.6166688799858093,1.1237412691116333
58,0.9754093,0.90238506,0.82245404,0.06351588582443192,0.8147019743919373,0.7540432810783386,0.6061461567878723,0.7924031615257263
59,0.9706909,0.88836235,0.79983777,0.0792258072326172,0.8100892305374146,0.7458533644676208,0.5956371426582336,0.8832367062568665
60,0.9754688,0.90156084,0.82111996,0.06347472106012268,0.8145076036453247,0.7502946257591248,0.601615309715271,1.0550451278686523
61,0.97822374,0.90696204,0.83009,0.0553078569760664,0.8162667751312256,0.7645367980003357,0.619871973991394,1.1575932502746582
62,0.9797665,0.9126635,0.8396549,0.05086142019533753,0.8198133707046509,0.7766069769859314,0.6357986927032471,1.1677573919296265
63,0.98061556,0.91356844,0.84119225,0.04843461965623347,0.8201450705528259,0.7642879486083984,0.6200931668281555,1.3867357969284058
64,0.98049635,0.9124129,0.8392618,0.04895672153481105,0.8182169795036316,0.7599968314170837,0.6141341924667358,1.198219895362854
65,0.9659166,0.873892,0.77728873,0.09505505763772357,0.8063274621963501,0.7222760915756226,0.5663788914680481,1.1410428285598755
66,0.9747476,0.88690466,0.7971974,0.06591876533731253,0.8128515481948853,0.7261032462120056,0.5709106922149658,1.1888980865478516
67,0.9794681,0.9026211,0.8228578,0.05187385096037878,0.8172163367271423,0.7541184425354004,0.6067928671836853,1.4867960214614868
68,0.98122156,0.9097113,0.8346807,0.046853557453031026,0.8183386325836182,0.7681353688240051,0.624756932258606,0.5744976997375488
69,0.9791722,0.90445954,0.82593536,0.05309927522475961,0.8144837617874146,0.7490172982215881,0.6000940203666687,1.3968678712844849
70,0.9798754,0.9067995,0.8298335,0.05105424486984841,0.8125066161155701,0.7514573335647583,0.602675199508667,1.3406858444213867
71,0.97419983,0.89273006,0.8067042,0.06875323313524169,0.8123127818107605,0.7252814769744873,0.569911539554596,1.2139968872070312
72,0.9788605,0.90193564,0.8217556,0.05386903960128091,0.8153360486030579,0.7512841820716858,0.6027026772499084,0.9421489834785461
73,0.9808353,0.90825856,0.8322748,0.0479411127552673,0.8164412975311279,0.7540647983551025,0.606413722038269,1.0060632228851318
74,0.9802134,0.9072753,0.8306573,0.04987220951249894,0.8111820816993713,0.7473777532577515,0.5974323749542236,1.1926206350326538
75,0.97685724,0.8978566,0.81500185,0.06006493727098915,0.8097607493400574,0.750856876373291,0.6024085879325867,0.9550043940544128
76,0.97930735,0.9033541,0.8241309,0.05252366588168035,0.8175464272499084,0.7643086910247803,0.6198326945304871,1.924888253211975
